study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
PRJNA720479	SAMN18651881	SRX10548133	SRR14180093	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/093/SRR14180093/SRR14180093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/093/SRR14180093/SRR14180093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/093/SRR14180093	FR225N_FR54N_adult
PRJNA720479	SAMN18651806	SRX10548132	SRR14180094	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/094/SRR14180094/SRR14180094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/094/SRR14180094/SRR14180094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/094/SRR14180094	EA13N_EA84N_pupa
PRJNA720479	SAMN18651805	SRX10548131	SRR14180095	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/095/SRR14180095/SRR14180095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/095/SRR14180095/SRR14180095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/095/SRR14180095	EA91N_EA103N_pupa
PRJNA720479	SAMN18651759	SRX10548129	SRR14180097	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/097/SRR14180097/SRR14180097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/097/SRR14180097/SRR14180097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/097/SRR14180097	EA93N_EA58N_larva
PRJNA720479	SAMN18651803	SRX10548128	SRR14180098	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/098/SRR14180098/SRR14180098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/098/SRR14180098/SRR14180098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/098/SRR14180098	EA22N_EA59N_pupa
PRJNA720479	SAMN18651802	SRX10548127	SRR14180099	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/099/SRR14180099/SRR14180099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/099/SRR14180099/SRR14180099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/099/SRR14180099	EA117N_EA126N_pupa
PRJNA720479	SAMN18651801	SRX10548126	SRR14180100	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/000/SRR14180100/SRR14180100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/000/SRR14180100/SRR14180100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/000/SRR14180100	SP279N_SP61N_larva
PRJNA720479	SAMN18651800	SRX10548125	SRR14180101	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/001/SRR14180101/SRR14180101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/001/SRR14180101/SRR14180101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/001/SRR14180101	SP19N_SP1N_larva
PRJNA720479	SAMN18651796	SRX10548121	SRR14180105	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/005/SRR14180105/SRR14180105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/005/SRR14180105/SRR14180105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/005/SRR14180105	SP15N_SP249N_larva
PRJNA720479	SAMN18651795	SRX10548120	SRR14180106	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/006/SRR14180106/SRR14180106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/006/SRR14180106/SRR14180106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/006/SRR14180106	SP159N_SP87N_larva
