run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14180059	SAMN18651809	SRX10548167	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/059/SRR14180059/SRR14180059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/059/SRR14180059/SRR14180059_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/059/SRR14180059	
SRR14180063	SAMN18651908	SRX10548163	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/063/SRR14180063/SRR14180063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/063/SRR14180063/SRR14180063_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/063/SRR14180063	
SRR14180064	SAMN18651907	SRX10548162	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/064/SRR14180064/SRR14180064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/064/SRR14180064/SRR14180064_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/064/SRR14180064	
SRR14180066	SAMN18651905	SRX10548160	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/066/SRR14180066/SRR14180066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/066/SRR14180066/SRR14180066_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/066/SRR14180066	
SRR14180067	SAMN18651904	SRX10548159	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/067/SRR14180067/SRR14180067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/067/SRR14180067/SRR14180067_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/067/SRR14180067	
SRR14180069	SAMN18651903	SRX10548157	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/069/SRR14180069/SRR14180069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/069/SRR14180069/SRR14180069_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/069/SRR14180069	
SRR14180070	SAMN18651902	SRX10548156	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/070/SRR14180070/SRR14180070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/070/SRR14180070/SRR14180070_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/070/SRR14180070	
SRR14180071	SAMN18651901	SRX10548155	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/071/SRR14180071/SRR14180071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/071/SRR14180071/SRR14180071_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/071/SRR14180071	
SRR14180074	SAMN18651898	SRX10548152	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/074/SRR14180074/SRR14180074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/074/SRR14180074/SRR14180074_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/074/SRR14180074	
SRR14180075	SAMN18651897	SRX10548151	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/075/SRR14180075/SRR14180075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/075/SRR14180075/SRR14180075_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/075/SRR14180075	
SRR14180077	SAMN18651895	SRX10548149	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/077/SRR14180077/SRR14180077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/077/SRR14180077/SRR14180077_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/077/SRR14180077	
SRR14180080	SAMN18651893	SRX10548146	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/080/SRR14180080/SRR14180080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/080/SRR14180080/SRR14180080_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/080/SRR14180080	
SRR14180083	SAMN18651890	SRX10548143	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/083/SRR14180083/SRR14180083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/083/SRR14180083/SRR14180083_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/083/SRR14180083	
SRR14180102	SAMN18651799	SRX10548124	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/002/SRR14180102/SRR14180102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/002/SRR14180102/SRR14180102_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/002/SRR14180102	
